feedback_id,summary_id,user_id,rating,comment,created_at
e854e399,d9c3083a,a8be72c4,5,Not relevant to the template I selected.,2025-11-14 03:18:59
8e60a139,9a309049,83d3fbf1,5,,2025-09-06 06:13:44
3eeea109,8c44167d,3c90017a,4,Formatting was clean and professional.,2025-09-21 08:01:37
98194c94,0ef53bb6,a6b28f61,4,,2025-12-12 16:59:53
c6a4a0bb,d7413116,6eb8198a,5,,2025-09-03 21:54:28
c6096f35,695e6dd1,19e928ce,5,Formatting was clean and professional.,2025-12-11 22:33:22
65cdcb60,6101566c,92e77547,5,"Very good, just needed minor edits before submitting.",2025-12-14 09:33:00
f1c2a164,af76d67c,10d49419,3,Some of the names were mixed up in the output.,2025-10-28 19:15:08
cdf8dc63,5dfed653,a6b28f61,5,,2025-03-07 19:40:09
995d3e3e,e3fc6991,bd564458,3,Incorrectly flagged a safeguarding concern that wasn't there.,2025-10-09 07:42:11
b2552bf7,19624ca0,66e5903e,4,Needs more detail on the housing situation discussed.,2025-12-01 06:34:42
2ef767e3,45133e9c,e9b20ff8,4,,2025-07-31 12:58:15
c40fda10,cd095c7a,a6b28f61,2,Great structure but missed the emotional context of the conversation.,2025-12-10 06:55:26
0ba30898,ce2d0c58,f3fd034f,5,,2025-11-14 10:23:11
1c3c321e,d6d8e661,2f1778af,3,Not relevant to the template I selected.,2025-10-19 08:54:17
20b73aa3,5571766f,fe8d58da,4,"The summary was too long, I needed something more concise.",2025-09-08 00:03:18
a1ba09c0,f4862b07,bea58f56,2,"Very good, just needed minor edits before submitting.",2025-10-08 18:26:20
8ccb2f33,12549431,0067a644,5,,2025-09-24 10:11:10
7746b785,56904c31,2b70f7a1,3,"Excellent summary, captured all the action points.",2025-08-21 21:59:09
328d46dd,93d49cd1,2b70f7a1,2,"Perfect, used it directly in my case notes.",2025-07-25 03:06:53
76383f51,8d8f0e5e,66e5903e,3,Good overall but the tone was a bit too formal for this context.,2025-10-01 21:03:43
53fe077e,7443ba82,143e5986,4,Good overall but the tone was a bit too formal for this context.,2025-07-10 10:48:19
f7e732fb,35ef6adc,c91b803f,5,,2025-12-04 04:22:55
90d256a0,f8be94c7,fe63b427,5,,2025-07-19 06:07:48
a1a76329,3875f66e,10d49419,3,Missed some key details about the risk assessment.,2025-11-10 14:39:13
cf70862d,15ef6665,19e928ce,5,Formatting was clean and professional.,2025-12-11 20:35:43
df02daf4,27826694,c91b803f,1,"Really helpful, especially the safeguarding flags section.",2025-11-20 20:04:31
f7c4911a,2e0283a2,c91b803f,3,,2025-12-01 04:18:36
8d1cca8c,03ea4f8c,143e5986,4,,2025-12-13 13:40:42
6a50f2d1,976c26b3,fe63b427,5,,2025-10-14 20:37:04
3e63608d,a3f309af,fe63b427,4,,2025-07-29 05:00:09
d21a63b4,7aba986c,fe8d58da,2,Incorrectly flagged a safeguarding concern that wasn't there.,2025-12-02 02:16:35
6a6d0257,f8dd4009,66e5903e,5,"Perfect, used it directly in my case notes.",2025-11-26 12:38:23
31b6ca43,fe3e5f82,bd564458,5,"Accurate and well structured, saved me a lot of time.",2025-11-03 03:33:32
64775bbf,ba915adc,0067a644,5,,2025-12-11 00:47:17
c0631d6c,aaf7459f,0067a644,4,"Picked up on things I might have missed, very useful.",2025-09-30 15:04:50
3a6db244,542dee16,19e928ce,4,,2025-11-28 17:38:55
5e586958,7132de5d,2b70f7a1,1,"The summary was too long, I needed something more concise.",2025-06-12 09:21:23
de5a3ef6,1ec74945,a8be72c4,5,Not relevant to the template I selected.,2025-12-13 20:53:27
89d3490b,6cfc9186,fe8d58da,5,"Excellent summary, captured all the action points.",2025-12-13 06:31:02
f5e46ed6,f5c62504,19e928ce,5,,2025-12-07 02:30:45
80525ef1,5d8e3c6c,0067a644,2,"Perfect, used it directly in my case notes.",2025-11-29 06:48:11
e78df168,2c6d9d7b,2b70f7a1,5,Not relevant to the template I selected.,2025-08-30 21:53:15
c6958b26,9d71c268,e9b20ff8,3,Not relevant to the template I selected.,2025-12-10 00:56:53
2cff7362,230909c1,83d3fbf1,1,,2025-11-09 01:50:22
94a0bab7,d3aabf2a,bd564458,4,,2025-12-10 15:48:16
2814da7a,4b63f3ab,c91b803f,4,,2025-06-15 21:31:01
2bc743cb,e815ae67,bea58f56,2,,2025-12-11 07:41:18
98c1d20b,dbfc6310,2f1778af,1,"Picked up on things I might have missed, very useful.",2025-11-19 06:11:54
cb92b38a,5a7e7bd2,66e5903e,3,,2025-10-22 08:58:23
fd75b2d3,cd496add,f3fd034f,3,"Picked up on things I might have missed, very useful.",2025-04-12 21:55:48
555c641c,7e948493,3c90017a,1,Some of the names were mixed up in the output.,2025-11-28 18:38:15
a03a0494,199ddda6,866bc877,3,Not relevant to the template I selected.,2025-09-26 00:37:50
a3ab2fa5,cb76b83b,e9b20ff8,4,Formatting was clean and professional.,2025-12-14 01:30:21
084d4ba6,bb8b4958,19e928ce,3,Some of the names were mixed up in the output.,2025-09-29 23:09:40
dd86673d,687f590c,6eb8198a,5,,2025-12-14 04:58:14
bf1deb42,4f33ab6d,2f1778af,4,,2025-10-24 02:05:36
ecdfd727,a53ba11f,10d49419,5,Not relevant to the template I selected.,2025-09-15 12:09:16
653c773d,7b8f0b9a,8921aef6,5,Formatting was clean and professional.,2025-10-20 14:13:30
261ef038,d93aa5ee,fe8d58da,5,,2025-10-08 13:23:06
50d7cdce,a910764a,bd564458,5,,2025-12-02 18:37:21
5253c6be,6ce754d5,83d3fbf1,5,,2025-03-09 04:02:34
05e67cbe,f994761a,bea58f56,3,,2025-08-05 00:15:46
65937fa8,ab8997a1,92e77547,5,,2025-11-30 16:43:49
6a72abb4,c520a4bc,92e77547,3,"Perfect, used it directly in my case notes.",2025-12-02 21:18:44
e356789c,f6f1209e,10d49419,5,,2025-12-09 10:47:23
08232c21,484bd71c,e9b20ff8,5,"Picked up on things I might have missed, very useful.",2025-12-09 09:58:10
3c8b0ae4,cb320853,6eb8198a,1,,2025-05-27 06:31:06
759568b3,d3071fea,fe63b427,4,"Accurate and well structured, saved me a lot of time.",2025-12-04 22:29:30
0fa79757,c3cd7c0f,fe8d58da,4,"Really helpful, especially the safeguarding flags section.",2025-08-19 01:53:49
da7c9cec,7bbdfc26,a8be72c4,4,,2025-10-17 16:58:38
4a2f0d61,ecfba02e,143e5986,3,,2025-11-30 00:23:46
4c2ed6f7,50e749ee,10d49419,5,,2025-09-06 09:09:58
5501f41e,acc36106,d03f0fec,2,Great structure but missed the emotional context of the conversation.,2025-12-14 12:02:01
6bc9c88d,0e6c7f17,6eb8198a,4,Good overall but the tone was a bit too formal for this context.,2025-10-15 01:33:55
ee098dde,1f7cc958,a6b28f61,3,Good overall but the tone was a bit too formal for this context.,2025-10-21 20:38:41
a8b53ac1,66a8e254,3c90017a,5,"Picked up on things I might have missed, very useful.",2025-12-12 06:47:20
78ea447f,30538086,19e928ce,5,"Really helpful, especially the safeguarding flags section.",2025-10-23 05:25:06
8b70be71,a2cbf3ad,3c90017a,5,,2025-11-09 00:39:12
931791d3,5abe9679,a8be72c4,4,Incorrectly flagged a safeguarding concern that wasn't there.,2025-12-06 23:38:48
f462d184,67539513,2b70f7a1,5,"The summary was too long, I needed something more concise.",2025-12-01 13:03:36
3062312a,b84bc049,fe63b427,4,,2025-12-14 00:40:59
3e7e9239,ca7b4b77,66e5903e,4,,2025-11-16 01:27:34
fe93ce34,c0e036d8,4a3cff38,2,,2025-12-04 21:14:32
652e877e,aea1e9a9,a8be72c4,4,,2025-12-06 15:41:53
0f518f14,ed78afbe,bea58f56,3,,2025-07-21 02:28:53
81de6756,0d6aa5bc,a6b28f61,5,,2025-12-09 20:25:28
726c2925,602ccc50,bd564458,3,,2025-11-24 11:54:58
aa65ac8a,744afc32,bd564458,5,,2025-12-06 01:48:19
d84a6c85,af99ea51,2f1778af,4,,2025-11-25 03:22:23
bdc52b3b,2386147a,a6b28f61,4,"The summary was too long, I needed something more concise.",2025-08-31 23:49:29
ad00b987,290ea65e,f3fd034f,4,,2025-12-03 13:25:42
3644a291,510f4ead,a8be72c4,4,,2025-06-21 04:39:17
029caa97,6e50515b,66e5903e,2,,2025-08-25 07:56:53
77f831b4,96fe911d,2b70f7a1,5,,2025-11-26 13:21:48
334a56f0,2f2494e3,866bc877,5,Incorrectly flagged a safeguarding concern that wasn't there.,2025-12-10 18:34:23
57e1bdb7,17e21be3,0067a644,5,,2025-05-07 18:45:49
e9059160,790acc22,143e5986,4,,2025-11-29 01:46:58
ad960ff6,60239f40,4a3cff38,2,,2025-12-14 23:45:03
975134d2,8184f70e,d03f0fec,4,Some of the names were mixed up in the output.,2025-11-28 18:10:23
78e035d2,1825706a,3b10775e,5,"Really helpful, especially the safeguarding flags section.",2025-11-21 12:40:00
f9229187,a919b978,66e5903e,5,,2025-07-19 08:20:48
55c79332,a6e586f7,fe8d58da,2,Needs more detail on the housing situation discussed.,2025-09-28 01:20:13
dc8c3459,48c13332,143e5986,5,,2024-12-26 21:19:56
cf267c4e,be8e839d,10d49419,2,,2025-12-02 02:56:30
4193f0df,bd57b759,f3fd034f,5,"Accurate and well structured, saved me a lot of time.",2025-12-14 23:00:44
fec7c7e0,7a3e232a,0067a644,5,,2025-10-22 00:01:41
44b189b0,bd9d50e0,6eb8198a,3,"Excellent summary, captured all the action points.",2025-09-10 06:39:20
0a65e5cd,ec43dfd3,143e5986,4,,2025-12-13 09:14:19
72965c2e,e1975f43,6eb8198a,5,Incorrectly flagged a safeguarding concern that wasn't there.,2025-07-11 21:22:16
72c28df3,1950c524,19e928ce,4,,2025-08-08 02:56:51
5aecb9f1,5d2766a5,4a3cff38,2,,2025-11-02 15:46:39
8a92dc0d,bd00bbcd,10d49419,5,Formatting was clean and professional.,2025-10-21 09:17:33
779f9481,4473ae42,83d3fbf1,4,"Perfect, used it directly in my case notes.",2025-10-17 18:54:07
3912e80f,aa1567cf,bea58f56,5,Not relevant to the template I selected.,2025-06-26 23:42:33
3a79d4b6,d1640923,a8be72c4,4,Great structure but missed the emotional context of the conversation.,2025-09-24 12:45:59
d3b29f0f,c47719c3,a6b28f61,5,"Excellent summary, captured all the action points.",2025-12-03 09:33:42
7ba77fcb,9fe2984b,3b10775e,3,"Very good, just needed minor edits before submitting.",2025-08-19 15:23:01
c6c13d33,36d26e33,866bc877,4,Good overall but the tone was a bit too formal for this context.,2025-08-20 02:36:10
6bf60fdb,a740cb0b,2b70f7a1,4,Incorrectly flagged a safeguarding concern that wasn't there.,2025-11-05 14:42:21
74a03670,c4987968,4a3cff38,5,Missed some key details about the risk assessment.,2025-12-09 03:40:30
b00fa8da,be505feb,0067a644,5,,2025-12-10 06:48:06
ba63d704,9eb57e92,2b70f7a1,4,,2025-06-10 04:34:06
2d43501d,2f9be28f,143e5986,3,Needs more detail on the housing situation discussed.,2025-12-14 02:47:24
2951972f,aabdb0a5,6eb8198a,2,,2025-12-03 07:34:31
8cfb2aae,ab1e04ce,bd564458,5,"The summary was too long, I needed something more concise.",2025-11-24 07:54:29
fddbd47b,eced6763,2b70f7a1,5,"Excellent summary, captured all the action points.",2025-11-06 12:10:48
9dcd7a77,a28697de,a6b28f61,2,,2025-12-09 09:48:22
cc24af24,3bb4af2b,19e928ce,3,,2025-12-14 06:56:30
3164e1fc,217fb2e0,2b70f7a1,4,,2025-12-11 12:01:52
4f0c38de,11a59e1d,2b70f7a1,5,Great structure but missed the emotional context of the conversation.,2025-12-05 00:26:37
c337900b,8ddc8519,3c90017a,4,,2025-11-12 07:18:30
1b22ceb4,44508db5,8921aef6,5,Needs more detail on the housing situation discussed.,2025-10-20 03:31:43
108a91fb,3f42be89,10d49419,5,"Accurate and well structured, saved me a lot of time.",2025-11-26 22:05:16
8035f4fe,c1aaa5f0,6eb8198a,5,,2025-11-23 03:23:59
f4a655ec,30086689,92e77547,1,,2025-10-17 15:47:31
8b9e7bea,523bf56f,143e5986,5,"The summary was too long, I needed something more concise.",2025-11-26 04:20:52
ec1544f4,bf5bec1f,bd564458,5,"Very good, just needed minor edits before submitting.",2025-10-24 23:45:36
8722da8d,fcaa3620,83d3fbf1,3,,2025-12-10 19:41:53
30ecd734,a4661f8c,fe8d58da,4,,2025-10-23 06:19:48
8e820071,b1d71346,3b10775e,5,Not relevant to the template I selected.,2025-12-08 00:58:41
e01753d4,88656d53,fe8d58da,5,Great structure but missed the emotional context of the conversation.,2025-07-08 01:10:11
c1564e5b,c2ac9e57,3b10775e,4,"The summary was too long, I needed something more concise.",2025-10-09 04:06:10
727f8ef2,dd2344be,92e77547,4,,2025-12-11 03:26:06
dc194ad0,0406ec22,10d49419,5,Great structure but missed the emotional context of the conversation.,2025-07-28 08:40:16
21e9cced,7377943c,866bc877,3,Missed some key details about the risk assessment.,2025-11-09 19:20:45
08081c11,d91930b2,c91b803f,4,Some of the names were mixed up in the output.,2025-12-07 16:31:39
7060752c,5ac47da7,c91b803f,5,"The summary was too long, I needed something more concise.",2025-12-12 05:15:23
d1299705,f15a5068,4a3cff38,4,,2025-11-13 14:19:45
e3b17755,00c21205,3b10775e,4,,2025-12-12 17:13:46
